Brand,Year,UsedOrNew,Transmission,FuelType,FuelConsumption,Kilometres,CylindersinEngine,BodyType,Doors,Seats,Price,EngineVolume,ExtCol,State,DriveFront,DriveRear
Nissan,2010.0,USED,Manual,Diesel,9.8,259488.0,4.0,Ute / Tray,2.0,2.0,13950.0,2.5,White ,NSW,True,True
Holden,2017.0,USED,Automatic,Unleaded,9.0,186954.0,4.0,SUV,4.0,7.0,12990.0,2.4,Grey ,NSW,True,False
Kia,2017.0,USED,Automatic,Unleaded,7.1,21350.0,4.0,Hatchback,5.0,5.0,22990.0,2.0,Red ,NSW,True,False
Audi,2016.0,USED,Automatic,Premium,8.1,47926.0,5.0,Hatchback,5.0,5.0,59990.0,2.5,White ,NSW,True,True
Mitsubishi,2014.0,USED,Manual,Diesel,8.0,88861.0,4.0,Ute / Tray,2.0,2.0,21880.0,2.5,White ,NSW,False,True
Jeep,2007.0,USED,Automatic,Diesel,16.0,199000.0,6.0,SUV,4.0,5.0,10990.0,3.0,- ,NSW,True,True
Mercedes-Benz,2018.0,USED,Automatic,Hybrid,6.5,72540.0,4.0,Sedan,4.0,4.0,39990.0,2.0,Blue ,NSW,False,True
Toyota,2020.0,USED,Automatic,Hybrid,4.2,87043.0,4.0,Hatchback,5.0,5.0,39990.0,1.8,Blue ,NSW,True,False
Ford,2012.0,USED,Manual,Diesel,9.4,254121.0,5.0,Ute / Tray,4.0,5.0,21990.0,3.2,White ,NSW,True,True
Honda,2008.0,USED,Manual,Premium,9.3,165450.0,4.0,Hatchback,3.0,4.0,18990.0,2.0,Silver ,NSW,True,False
Honda,2022.0,USED,Automatic,Unleaded,7.3,15087.0,4.0,SUV,4.0,5.0,39990.0,1.5,White ,NSW,True,False
Nissan,2013.0,USED,Automatic,Diesel,10.5,159056.0,4.0,Ute / Tray,4.0,5.0,21990.0,2.5,White ,NSW,True,True
Hyundai,2017.0,USED,Automatic,Diesel,6.8,97295.0,4.0,SUV,4.0,5.0,31990.0,2.0,White ,NSW,True,True
Mazda,2015.0,USED,Automatic,Unleaded,7.4,83095.0,4.0,SUV,4.0,5.0,26990.0,2.5,Red ,NSW,True,True
